range_total_commits	1709
range_non_merge_commits	1550
unique_task_ids_in_subjects	349
top_task_ids_in_subjects
     25 PROC-028
     20 RUNTIME-194
     17 METHOD-020
     14 UI-039
     10 RUNTIME-202
     10 METHOD-017
      9 RUNTIME-208
      9 PHYSICS-004
      9 METHOD-019
      8 HARDEN-087
      8 GEOM-064
      8 CORE-007
      8 CI-007
      7 RUNTIME-206
      7 GRAPHICS-079
      7 GEOM-075
      7 CORE-005
      7 BUG-130
      6 UI-034
      6 RUNTIME-203
      6 RUNTIME-192
      6 RUNTIME-139
      6 RUNTIME-095
      6 RUNTIME-083
      6 METHOD-016
      6 GEOM-012
      6 ARCH-006
      5 RUNTIME-200
      5 RUNTIME-197
      5 RUNTIME-093
      5 REVIEW-003
      5 GRAPHICS-105
      5 CORE-008
      5 BUG-123
      4 UI-001
      4 RUNTIME-217
      4 RUNTIME-205
      4 RUNTIME-198
      4 RUNTIME-196
      4 RUNTIME-195
      4 RUNTIME-183
      4 RUNTIME-175
      4 RUNTIME-129
      4 RUNTIME-125
      4 RUNTIME-090
      4 RUNTIME-089
      4 RUNTIME-085
      4 METHOD-032
      4 INFRA-001
      4 GRAPHICS-091
      4 GEOM-062
      4 GEOM-056
      4 BUG-082
      4 BUG-081
      4 BUG-072
      4 BUG-069
      4 BUG-015
      4 ARCH-014
      3 UI-038
      3 UI-036
      3 UI-029
      3 UI-027
      3 RUNTIME-216
      3 RUNTIME-215
      3 RUNTIME-201
      3 RUNTIME-193
      3 RUNTIME-191
      3 RUNTIME-188
      3 RUNTIME-181
      3 RUNTIME-180
      3 RUNTIME-176
      3 RUNTIME-172
      3 RUNTIME-168
      3 RUNTIME-092
      3 RUNTIME-088
      3 RUNTIME-086
      3 RUNTIME-084
      3 PROC-029
      3 PROC-025
      3 PROC-015
commits_without_task_id_subject	719
