kind	name	production_implementations	non_definition_source_files	test_reference_files
interface	IIOBackend	1	6	2
interface	IRenderer	1	20	28
interface	IBindlessHeap	3	8	2
interface	ICommandContext	4	91	30
interface	IDevice	2	80	30
interface	IProfiler	2	6	4
interface	ITransferQueue	3	17	17
interface	IWindow	2	14	17
interface	ICameraController	4	6	10
interface	IRuntimeModule	12	14	9
surface	AssetRegistry	1	6	2
surface	AssetService	1	12	11
surface	CallbackRegistry	1	2	1
surface	EngineConfigSectionRegistry	1	3	5
surface	LockFreeQueue	1	1	1
surface	PropertyRegistry	1	1	0
surface	FrameRecipePassContributionRegistry	1	1	1
surface	GpuBufferUploadSubmission	1	0	1
surface	RenderSubsystemRegistry	1	2	2
surface	PlacedResourceBinding	1	1	1
surface	VulkanTransferQueue	1	2	0
surface	CameraControllerRegistry	1	13	14
surface	EditorWindowRegistry	1	6	11
surface	VertexAttributeBinding	1	15	8
surface	VertexChannelSourceBinding	1	5	1
surface	RuntimeInputActionBinding	1	4	3
surface	RuntimeInputActionRegistry	1	3	4
surface	JobService	1	38	28
surface	ServiceRegistry	1	31	11
surface	WorldRegistry	1	35	12
surface	ClusteringService	1	6	4
surface	PointCloudConsolidationService	1	3	3
surface	TextureBakeService	1	11	9
surface	RenderArtifactRegistry	1	2	5
surface	StableEntityLookupSceneBinding	1	1	0
